"careerid"	"careername"	"description"
1	"แพทย์"	"ผู้ให้การวินิจฉัยและรักษาโรคแก่ผู้ป่วย
2	"ทันตแพทย์"	"ผู้ให้การวินิจฉัยและรักษาโรคในช่องปากและฟัน"
3	"เภสัชกร"	"ผู้ให้การวินิจฉัยและรักษาโรคด้วยการใช้ยา"
4	"พยาบาลวิชาชีพ"	"ดูแล ติดตั้ง และออกแบบโครงสร้างเครือข่ายคอมพิวเตอร์ให้ปลอดภัยและมีเสถียรภาพ"
5	"นักกิจกรรมบำบัด"	"ตรวจสอบความถูกต้องของงานก่อสร้างตามแบบและมาตรฐาน"
6	"นักทัศนมาตร"	"ตรวจวัดสายตาและให้คำแนะนำการใช้แว่นตา
7	"นักกายภาพบำบัด"	"ให้การรักษาและฟื้นฟูสมรรถภาพทางกาย"
8	"นักวิจัย"	"ศึกษาวิจัยและพัฒนาผลิตภัณฑ์ใหม่ หรือองค์ความรู้ใหม่"
9	"ที่ปรึกษาสุขภาพจิต"	"ช่วยเหลือและให้คำปรึกษาด้านจิตใจ"
10	"นักบริบาล"	"ดูแลผู้สูงอายุหรือผู้ป่วยที่ช่วยเหลือตนเองไม่ได้"
11	"นักกำหนดอาหาร"	"ดูแลผู้ป่วยและให้การพยาบาลภายใต้แผนการรักษาของแพทย์"
12	"ครู"	"สอนนักเรียนระดับพื้นฐาน ถ่ายทอดความรู้และพัฒนาทักษะ"
13	"ขายของออนไลน์"	"นำเสนอและขายสินค้าแบบถ่ายทอดสดทางออนไลน์"
14	"นักกฎหมาย"	"ให้คำปรึกษาและจัดทำเอกสารเกี่ยวกับกฎหมายแก่บุคคลหรือองค์กร"
15	"อัยการ"	"ดำเนินคดีอาญาแทนรัฐและตรวจสอบความถูกต้องทางกฎหมาย"
16	"ทนายความ"	"ว่าความและปกป้องสิทธิของลูกความในชั้นศาล"
17	"ผู้ประกาศข่าว"	"อ่านข่าวทางโทรทัศน์หรือวิทยุ และอัปเดตสถานการณ์ให้ประชาชน"
18	"นักข่าว"	"รายงานเหตุการณ์จริงจากแหล่งข่าว พร้อมสืบค้นข้อเท็จจริง"
19	"โปรดิวเซอร์"	"วางแผนและควบคุมการผลิตรายการหรือคอนเทนต์ให้ตรงเป้าหมายและงบประมาณ"
20	"นักออกแบบกราฟิก"	"สร้างสรรค์งานออกแบบด้านภาพและการสื่อสารด้วยกราฟิก"
21	"นักบัญชี"	"จัดทำและตรวจสอบบัญชีการเงินขององค์กร"
22	"นักวิทยาศาสตร์สิ่งแวดล้อม"	"ศึกษาและวิเคราะห์ปัญหาสิ่งแวดล้อมเพื่อหาทางแก้ไขที่ยั่งยืน"
23	"วิศวกรซอฟต์แวร์"	"ออกแบบและพัฒนาซอฟต์แวร์เพื่อใช้งานในระบบต่าง ๆ"
24	"เทรดเดอร์"	"ซื้อขายหุ้นหรือสินทรัพย์เพื่อทำกำไร"
25	"เจ้าของธุรกิจ, Start-up"	"ก่อตั้งและบริหารธุรกิจเกิดใหม่"
26	"นักการตลาด"	"ทำการตลาดผ่านช่องทางออนไลน์และออฟไลน์"
27	"นักสร้างสรรค์บทความ"	"เขียนเนื้อหาสำหรับเว็บไซต์หรือสื่อ"
28	"นักแปลภาษา"	"แปลเอกสารหรือสื่อจากภาษาหนึ่งไปยังอีกภาษา"
29	"นักจิตวิทยา"	"ให้คำปรึกษาและวิเคราะห์พฤติกรรมของมนุษย์"
30	"นักกำกับและตัดต่อวิดีโอ"	"ผลิตและตัดต่อวิดีโอสำหรับสื่อ
31	"นักออกแบบเว็บไซต์"	"ออกแบบและพัฒนาเว็บไซต์ให้ใช้งานได้ดี"
32	"สถาปนิก"	"ออกแบบอาคารและสิ่งปลูกสร้าง"
33	"นักโลจิสติกส์"	"วางแผนและควบคุมระบบการขนส่งและคลังสินค้า"
34	"นักบิดแสงและสี"	"ปรับแต่งภาพให้มีโทนสีและอารมณ์ที่เหมาะสม"
35	"อาชีพบริการลูกค้า/งานต้อนรับ"	"ต้อนรับลูกค้าในสถานบริการ"
36	"นักวิทยาศาสตร์อาหาร"	"พัฒนาผลิตภัณฑ์อาหารให้ปลอดภัยและมีคุณค่า"
37	"นักตรวจสอบบัญชี"	"ตรวจสอบความถูกต้องของบัญชีการเงิน"
38	"พนักงานโรงแรม"	"ดูแลความเรียบร้อยในโรงแรม"
